Timestamp,Price,Size
2024-09-19 09:43:00.285000,414.50367852515177,104
2024-09-19 09:43:00.602000,414.52440148858994,95
2024-09-19 09:43:00.912000,414.5227916400253,1004
2024-09-19 09:43:01.014000,414.5033787067874,102
2024-09-19 09:43:01.061000,414.5009775049167,100
2024-09-19 09:43:01.108000,414.50860871955257,1002
2024-09-19 09:43:01.129000,414.5109973746784,8
2024-09-19 09:43:01.224000,414.5077437922183,14
2024-09-19 09:43:01.260000,414.5087123852721,15
2024-09-19 09:43:01.277000,414.5050849488688,11
2024-09-19 09:43:01.433000,414.5126451946738,1003
2024-09-19 09:43:01.490000,414.5200567201924,998
2024-09-19 09:43:01.535000,414.52153828310935,8
2024-09-19 09:43:01.631000,414.5183143816826,104
2024-09-19 09:43:01.682000,414.5036058860421,998
2024-09-19 09:43:01.684000,414.512208428096,98
2024-09-19 09:43:01.771000,414.5220728690542,101
2024-09-19 09:43:01.775000,414.5279778399431,996
2024-09-19 09:43:01.837000,414.4976689975538,997
2024-09-19 09:43:01.899000,414.51253692615614,13
2024-09-19 09:43:01.971000,414.49684617310487,998
2024-09-19 09:43:02.072000,414.5099388078879,1003
2024-09-19 09:43:02.449000,414.4857344572336,1004
2024-09-19 09:43:03.480000,414.4784727022595,15
2024-09-19 09:43:04.041000,414.4902337745003,1002
2024-09-19 09:43:04.213000,414.5063988687816,1000
2024-09-19 09:43:04.270000,414.50299839216007,102
2024-09-19 09:43:04.309000,414.47856275860977,101
2024-09-19 09:43:04.364000,414.46803585502295,1005
2024-09-19 09:43:04.448000,414.5258208805087,8
2024-09-19 09:43:04.602000,414.4752284760432,10
2024-09-19 09:43:04.774000,414.5145557491351,995
2024-09-19 09:43:04.905000,414.50604065215566,103
2024-09-19 09:43:04.921000,414.4915437346537,98
2024-09-19 09:43:04.984000,414.4743300626959,1000
2024-09-19 09:43:05.089000,414.4937362921168,105
2024-09-19 09:43:05.111000,414.5107552351578,96
2024-09-19 09:43:05.188000,414.5023852432981,999
2024-09-19 09:43:05.195000,414.5118626439341,15
2024-09-19 09:43:05.220000,414.5193857660754,995
2024-09-19 09:43:05.231000,414.5387882011448,96
2024-09-19 09:43:05.250000,414.5240712566093,9
2024-09-19 09:43:05.250000,414.5245081169986,6
2024-09-19 09:43:05.289000,414.5145706012441,995
